,PartyId,MonitoringLink,ExcludedFromDeliveryCount,LocalizationType_filial,LocalizationType_hz,LocalizationType_subnet,LocalizationType_empty,cnt
3768,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/3dfcb637-bf9f-11ec-a832-7a6c0c74d406,,1.0,,,76.0,77.0
3769,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/5d3a49f1-bf9e-11ec-a8e8-68f35c51d7ab,,1.0,,,76.0,77.0
3770,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/e786b12b-b735-11ec-8491-eeeecfb36e97,,1.0,,,76.0,77.0
3771,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/a80e10ea-b735-11ec-a184-219a61dff8e9,,1.0,,,76.0,77.0
3772,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/97b7d2dc-b734-11ec-8d90-587e1f9ea970,,1.0,,,76.0,77.0
3773,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/cefe97ef-b6fb-11ec-9b18-bc6408ab56de,,1.0,,,76.0,77.0
3774,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/c48eb078-b6fa-11ec-8730-0925f5c4fd18,,1.0,,,76.0,77.0
3775,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/b2f34302-b4c0-11ec-98d2-6b342e8d1048,,1.0,,,76.0,77.0
3776,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/209b7f5b-b1bf-11ec-95cd-eeb316c5893f,,1.0,,,76.0,77.0
3777,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/e9305cca-bb05-11ec-9013-ed55a1119b6f,,,,,79.0,79.0
3778,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/fe7fc17f-bbe7-11ec-8fb2-2702340d72cb,,,,,80.0,80.0
3779,ce73b433-bc2e-481a-899b-f2aade32f060,https://edi.kontur.ru/Monitoring/TaskChainList/Document/5ed939ae-bbe6-11ec-87ae-aa859143be21,,,,,80.0,80.0
3780,e1f6297b-917b-49d3-ae30-8aedcd809da2,https://edi.kontur.ru/Monitoring/TaskChainList/Document/65f50f82-bbec-11ec-b7d4-f83e7bb04f2b,,,,1.0,80.0,81.0
3781,f81ffdc3-4767-45c4-a884-1da5a850cbe2,https://edi.kontur.ru/Monitoring/TaskChainList/Document/eae9fce3-b724-11ec-b52c-e0c78cbff679,,,47.0,,47.0,94.0
3782,1e6ee6d1-cc9d-49a3-8d97-98a6e419152a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/793f0077-bca9-11ec-9795-603397bcc9a7,,,47.0,,47.0,94.0
3783,1e6ee6d1-cc9d-49a3-8d97-98a6e419152a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/5f1b91bb-bca8-11ec-adc5-6de152747899,,,47.0,,47.0,94.0
3784,1e6ee6d1-cc9d-49a3-8d97-98a6e419152a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/849c6a8f-bca7-11ec-b4ed-3cfa5c595666,,,47.0,,47.0,94.0
3785,1e6ee6d1-cc9d-49a3-8d97-98a6e419152a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/449d223a-bca6-11ec-b638-7bca50668b36,,,47.0,,47.0,94.0
3786,1e6ee6d1-cc9d-49a3-8d97-98a6e419152a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/41830c94-bb1c-11ec-8369-4def19493751,,,47.0,,47.0,94.0
3787,1e6ee6d1-cc9d-49a3-8d97-98a6e419152a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/f383513d-b1c6-11ec-a1cf-18ae73305b6c,,,47.0,,47.0,94.0
3788,363e325b-060f-4fec-abc1-b7a298a0c06e,https://edi.kontur.ru/Monitoring/TaskChainList/Document/d3ea1522-bf1f-11ec-9066-b1dbd85a2bdb,,,47.0,,47.0,94.0
3789,54c76829-dff2-42a6-825c-1385a7becec8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/87601666-c0bc-11ec-8a8d-878719c02e51,,,47.0,,47.0,94.0
3790,54c76829-dff2-42a6-825c-1385a7becec8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/67c810f1-c0ba-11ec-9546-cbf6e4a45980,,,47.0,,47.0,94.0
3791,76f2b92c-f920-4b71-b143-069941f339cd,https://edi.kontur.ru/Monitoring/TaskChainList/Document/2d0f1d2d-bfb5-11ec-ac53-2ed50dfd3c22,,,47.0,,47.0,94.0
3792,efd11cb3-d057-4316-b98c-16143b55196c,https://edi.kontur.ru/Monitoring/TaskChainList/Document/7c9daa4c-b736-11ec-b85e-e34cd3937bf8,,,47.0,,47.0,94.0
3793,3dfa8c12-1472-49df-a022-260baf6d9412,https://edi.kontur.ru/Monitoring/TaskChainList/Document/3c67a3d9-b999-11ec-a284-2b7e7e4cb04b,,,47.0,,47.0,94.0
3794,45707510-09c2-4d25-aa77-f5dbb14bf425,https://edi.kontur.ru/Monitoring/TaskChainList/Document/f288892a-bca8-11ec-ab1b-a615500f01dc,,95.0,,,,95.0
3795,9206aeb2-5d80-426b-b591-30bcc0540e1d,https://edi.kontur.ru/Monitoring/TaskChainList/Document/f4bfdb5d-b5ae-11ec-9b85-762769351448,,95.0,,,,95.0
